@relation GPT

@attribute PatientID numeric
@attribute GPT_0 {VH,H,N,UH}
@attribute GOT_0 {H,N,VH,UH}
@attribute ZTT_0 {N,H,VH,UH}
@attribute TTT_0 {H,N,VH,UH}
@attribute T-BIL_0 {N,H,VH}
@attribute D-BIL_0 {H,N,UH,VH}
@attribute I-BIL_0 {N,H,VH}
@attribute ALB_0 {H,N,L,VL}
@attribute CHE_0 {VL,N,H,L}
@attribute T-CHO_0 {H,N,L,VH}
@attribute TP_0 {H,N,L,VL,VH}
@attribute Type_0 {B,C}
@attribute Activity_0 {A2,A1,A3}
@attribute GPT_1 {UH,H,N,VH}
@attribute GOT_1 {VH,N,H,UH}
@attribute ZTT_1 {N,H,VH,UH}
@attribute TTT_1 {H,N,VH,UH}
@attribute T-BIL_1 {N,H,VH}
@attribute D-BIL_1 {H,N,UH,VH}
@attribute I-BIL_1 {N,H,VH}
@attribute ALB_1 {H,N,L,VL}
@attribute CHE_1 {VL,N,H,L}
@attribute T-CHO_1 {N,L,VH,H}
@attribute TP_1 {H,N,L,VH}
@attribute Type_1 {B,C}
@attribute Activity_1 {A2,A1,A3}
@attribute GPT2 {UH,H,N,VH}

@data
546,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
547,H,N,VH,H,H,H,N,N,N,N,N,C,A2,N,H,VH,N,H,H,H,N,N,N,N,C,A2,N
557,VH,H,H,N,N,N,N,N,L,N,N,C,A1,UH,VH,N,N,N,N,N,N,L,N,N,C,A1,UH
559,N,N,H,N,N,N,N,N,N,N,N,C,A2,H,N,N,N,N,N,N,N,N,N,N,C,A2,H
561,H,H,H,N,N,N,N,N,N,N,N,C,A1,H,H,H,N,N,N,N,N,N,N,N,C,A1,H
563,VH,H,H,N,N,N,N,N,N,N,N,C,A1,H,H,H,N,N,N,N,N,N,N,N,C,A1,H
565,N,N,N,N,H,H,N,N,VL,N,N,B,A1,N,N,N,N,N,H,N,N,VL,N,N,B,A1,N
567,VH,H,N,H,N,N,N,N,N,N,N,B,A1,UH,UH,H,VH,N,H,N,N,N,N,N,B,A1,UH
570,H,VH,N,N,N,N,N,N,N,N,N,C,A1,VH,H,H,H,N,N,N,N,N,N,N,C,A1,VH
574,VH,VH,N,N,N,N,N,N,VL,N,N,B,A2,VH,VH,N,H,N,N,N,N,VL,N,N,B,A2,VH
577,N,N,H,N,H,H,H,N,N,L,N,C,A2,N,N,H,N,H,H,H,N,N,L,N,C,A2,N
578,N,H,H,H,H,H,H,N,N,N,N,C,A2,H,H,H,H,N,N,N,N,N,N,N,C,A2,H
579,H,H,VH,H,N,N,N,N,N,N,N,C,A2,VH,H,VH,H,N,H,N,N,N,N,N,C,A2,VH
582,VH,H,H,H,N,N,N,N,N,N,N,C,A1,VH,H,H,N,N,N,N,N,N,N,H,C,A1,VH
583,VH,H,N,N,H,VH,H,N,N,N,N,C,A1,VH,H,H,N,H,H,H,N,N,N,N,C,A1,VH
585,UH,VH,H,H,N,N,N,N,N,N,N,C,A1,VH,VH,H,N,N,N,N,N,N,N,N,C,A1,VH
586,N,N,H,H,N,N,N,L,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
592,N,N,N,N,H,N,H,N,N,N,N,C,A1,N,N,N,N,H,N,H,N,N,N,N,C,A1,N
593,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
594,H,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
596,UH,UH,H,VH,N,H,N,L,L,N,L,B,A2,UH,UH,H,VH,N,N,N,L,L,N,N,B,A2,UH
597,VH,VH,H,VH,N,N,N,N,N,N,N,B,A1,UH,VH,H,VH,N,N,N,N,N,N,N,B,A1,UH
599,VH,H,H,H,N,N,N,N,N,N,N,C,A2,VH,VH,H,H,N,N,N,N,N,N,N,C,A2,VH
601,VH,H,N,N,N,H,N,N,N,N,N,C,A3,VH,H,N,N,N,N,N,N,N,N,N,C,A3,VH
602,VH,H,VH,N,N,N,N,L,L,L,N,C,A1,H,H,VH,H,N,N,N,L,N,N,N,C,A1,H
604,UH,VH,N,N,N,H,N,N,L,N,N,C,A1,UH,VH,N,N,N,H,N,N,L,N,N,C,A1,UH
605,H,H,N,N,N,H,N,N,VL,N,N,B,A3,VH,H,N,N,N,N,N,N,VL,N,N,B,A3,VH
606,H,H,N,N,N,H,N,N,VL,VH,N,B,A3,H,H,N,N,N,H,N,N,VL,N,N,B,A3,H
609,H,H,H,H,N,N,N,N,N,N,N,C,A3,H,H,H,H,N,N,N,N,N,L,N,C,A3,H
610,N,N,H,N,H,H,H,N,N,N,H,C,A2,N,N,N,N,N,N,N,N,N,N,N,C,A2,N
615,N,N,H,N,N,N,N,N,N,L,N,C,A2,N,N,N,N,N,N,N,N,N,L,N,C,A2,N
616,H,N,H,H,H,H,N,H,VL,N,N,B,A1,H,N,N,N,N,H,N,N,VL,N,N,B,A1,H
623,VH,H,VH,H,N,N,N,N,N,N,H,C,A2,VH,H,VH,H,N,N,N,N,N,N,H,C,A2,VH
624,H,H,VH,VH,N,N,N,N,N,N,N,C,A2,VH,H,VH,VH,N,N,N,N,N,N,N,C,A2,VH
632,VH,VH,H,H,N,H,N,N,N,N,N,C,A3,VH,H,N,N,N,H,N,N,N,N,L,C,A3,VH
633,H,H,VH,H,N,N,N,N,N,N,N,C,A2,H,H,H,H,N,N,N,N,N,N,N,C,A2,H
634,N,N,N,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,H,N,C,A2,N
636,UH,VH,H,H,N,N,N,N,N,N,N,C,A2,UH,VH,H,H,N,N,N,N,N,N,N,C,A2,UH
637,H,H,H,N,N,N,N,N,N,N,N,C,A1,H,H,H,N,N,N,N,N,N,N,N,C,A1,H
641,VH,H,H,H,N,H,N,L,VL,VH,N,B,A3,H,H,H,H,N,H,N,L,VL,VH,N,B,A3,H
642,H,N,H,H,N,N,N,N,N,N,N,C,A1,H,N,H,H,N,N,N,N,N,N,N,C,A1,H
644,H,N,H,H,H,N,H,N,N,H,N,C,A1,H,N,H,H,N,N,N,L,N,H,L,C,A1,H
645,UH,VH,H,N,N,N,N,N,N,N,N,C,A2,UH,UH,H,N,N,N,N,N,N,N,N,C,A2,UH
646,VH,H,H,N,N,N,N,N,N,N,N,C,A1,VH,H,H,N,N,N,N,N,N,N,N,C,A1,VH
650,H,N,H,N,H,N,H,N,N,H,N,C,A2,N,N,N,N,N,N,N,N,N,N,N,C,A2,N
652,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
653,H,N,H,H,N,N,N,N,N,N,N,C,A2,H,N,H,H,N,N,N,N,N,N,N,C,A2,H
654,H,H,VH,VH,N,N,N,N,N,N,H,C,A2,N,H,UH,VH,N,N,N,N,N,N,H,C,A2,N
655,N,N,N,H,N,N,N,N,N,N,N,C,A2,N,H,H,H,N,N,N,N,N,N,N,C,A2,N
656,N,N,N,H,N,N,N,N,N,N,N,B,A2,H,H,N,N,N,N,N,L,VL,N,L,B,A2,H
657,H,H,N,N,N,N,N,N,VL,H,N,B,A1,H,H,N,N,N,H,N,N,VL,N,N,B,A1,H
663,VH,H,H,H,N,N,N,N,N,N,N,C,A2,H,H,H,H,N,N,N,N,N,N,H,C,A2,H
664,N,N,H,H,H,H,H,L,L,L,N,C,A2,N,H,H,VH,N,N,N,L,L,L,N,C,A2,N
667,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
669,N,N,VH,H,N,N,N,N,N,L,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
671,H,H,H,N,N,N,N,N,N,N,H,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
672,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
677,N,N,N,N,H,N,H,N,N,N,N,C,A2,N,N,N,N,H,H,H,N,N,N,N,C,A2,N
679,VH,VH,H,N,N,N,N,N,L,N,N,C,A2,VH,H,H,H,N,N,N,N,L,N,N,C,A2,VH
683,H,H,H,H,N,H,N,N,VL,H,H,C,A3,VH,VH,H,H,N,H,N,N,VL,N,N,C,A3,VH
689,VH,VH,H,N,H,H,H,N,N,N,N,C,A1,VH,VH,H,N,N,H,N,N,N,N,N,C,A1,VH
690,H,H,N,N,N,N,N,N,N,N,N,C,A2,H,H,N,N,N,N,N,N,N,N,N,C,A2,H
695,H,H,H,N,N,N,N,N,N,N,N,C,A1,H,N,H,N,N,N,N,N,N,N,N,C,A1,H
698,N,H,H,N,N,N,N,N,N,N,N,C,A1,N,H,H,N,N,N,N,N,N,N,N,C,A1,N
699,VH,H,H,H,N,N,N,N,N,N,N,C,A2,VH,H,H,H,N,N,N,N,N,N,N,C,A2,VH
700,H,H,H,N,N,N,N,N,N,N,N,C,A2,H,H,H,H,N,N,N,N,N,N,N,C,A2,H
701,H,H,VH,N,N,N,N,N,L,N,N,C,A1,H,H,VH,H,N,N,N,L,L,N,N,C,A1,H
702,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
703,VH,H,H,H,N,N,N,N,N,N,N,C,A2,H,N,H,VH,N,H,N,N,N,N,H,C,A2,H
704,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,N,N,N,N,N,N,N,C,A1,N
705,H,H,H,H,N,N,N,N,L,L,H,C,A2,UH,UH,VH,VH,H,H,H,N,L,L,N,C,A2,UH
706,N,H,H,H,N,N,N,N,N,N,N,C,A1,N,H,H,H,N,N,N,N,N,N,N,C,A1,N
709,N,N,N,N,N,N,N,N,N,N,N,B,A1,UH,UH,H,H,N,N,N,L,N,N,N,B,A1,UH
711,VH,H,H,VH,N,N,N,N,N,N,N,C,A1,H,N,H,H,H,H,H,N,N,N,N,C,A1,H
712,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,H,N,N,N,N,C,A2,N
713,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
715,UH,VH,H,N,H,H,H,N,N,N,H,C,A2,VH,H,H,H,H,H,H,N,N,N,H,C,A2,VH
717,N,N,H,H,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
719,N,N,VH,VH,N,N,N,N,L,L,N,C,A1,VH,VH,VH,VH,N,N,N,N,L,L,N,C,A1,VH
723,H,H,H,N,N,H,N,N,VL,N,N,B,A2,H,H,H,N,N,H,N,N,VL,N,N,B,A2,H
729,N,N,VH,UH,N,N,N,L,L,N,N,C,A3,VH,H,VH,UH,N,N,N,L,N,N,N,C,A3,VH
730,H,N,N,N,N,N,N,N,N,N,N,C,A3,N,N,N,N,N,N,N,N,N,N,N,C,A3,N
731,H,H,VH,VH,N,N,N,N,N,L,N,C,A2,N,N,H,H,N,N,N,L,N,N,N,C,A2,N
732,H,N,H,N,N,N,N,N,N,N,N,C,A2,H,N,H,N,N,N,N,N,N,N,N,C,A2,H
737,N,N,N,N,H,N,H,N,N,N,N,C,A2,N,N,N,N,H,H,H,N,N,N,N,C,A2,N
740,H,N,H,H,N,H,N,N,N,N,N,C,A1,H,H,VH,H,N,N,N,N,N,N,N,C,A1,H
742,VH,VH,H,N,N,N,N,N,N,N,N,C,A3,VH,H,H,N,N,N,N,N,N,N,N,C,A3,VH
743,H,N,H,H,N,N,N,N,N,N,N,C,A2,N,N,H,H,N,N,N,N,N,N,N,C,A2,N
745,H,H,H,H,N,N,N,L,N,N,N,C,A2,VH,H,H,H,N,N,N,N,N,N,N,C,A2,VH
746,H,H,H,H,N,N,N,L,L,L,N,C,A3,N,N,H,H,N,N,N,L,L,L,N,C,A3,N
748,H,H,H,N,N,N,N,L,N,N,N,C,A2,VH,H,H,N,N,N,N,N,N,N,N,C,A2,VH
750,N,H,H,H,N,N,N,N,N,N,H,C,A2,H,H,H,H,N,N,N,N,N,N,H,C,A2,H
751,H,H,H,N,N,N,N,L,N,L,N,C,A3,H,H,H,H,N,H,N,N,N,L,N,C,A3,H
752,H,H,H,H,N,H,N,N,N,H,N,B,A2,N,H,H,N,H,H,H,N,N,VH,N,B,A2,N
758,N,N,H,N,N,N,N,N,N,N,N,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
760,N,N,H,N,N,N,H,N,N,N,N,C,A1,N,N,H,N,H,N,H,N,N,N,N,C,A1,N
766,N,N,UH,VH,N,N,N,L,N,N,N,C,A2,N,N,UH,VH,N,N,N,N,N,N,H,C,A2,N
767,H,H,VH,N,N,N,N,L,N,L,N,C,A2,H,H,VH,N,H,H,H,L,N,L,N,C,A2,H
769,VH,H,H,N,N,N,N,N,N,N,N,C,A2,H,H,H,N,N,N,N,N,N,N,N,C,A2,H
772,UH,VH,H,H,N,N,N,N,VL,N,H,C,A2,UH,VH,H,H,N,H,N,N,VL,N,H,C,A2,UH
774,N,N,H,N,N,N,N,N,N,N,N,C,A2,N,N,H,N,N,N,N,N,N,N,N,C,A2,N
775,H,H,H,VH,N,N,N,N,N,N,N,C,A2,VH,VH,H,H,N,N,N,N,N,N,N,C,A2,VH
778,UH,UH,N,H,N,N,N,L,L,N,N,C,A1,VH,VH,N,H,N,N,N,L,L,N,N,C,A1,VH
784,H,H,H,H,H,VH,N,VL,VL,N,N,B,A3,H,H,H,H,H,VH,H,VL,VL,N,N,B,A3,H
785,H,H,H,N,N,H,N,N,VL,N,H,B,A3,VH,VH,N,N,N,N,H,N,VL,N,H,B,A3,VH
817,H,H,N,N,N,H,N,N,VL,N,N,B,A2,H,N,N,N,N,N,N,N,VL,N,N,B,A2,H
820,VH,H,H,N,N,H,N,N,VL,N,N,B,A2,H,H,H,N,N,H,N,H,VL,N,N,B,A2,H
829,UH,VH,N,N,N,H,N,N,VL,N,N,B,A2,VH,H,N,N,N,N,N,N,VL,N,N,B,A2,VH
831,UH,VH,H,H,N,H,N,N,VL,N,N,B,A2,H,N,N,H,N,H,N,N,VL,H,N,B,A2,H
834,H,H,N,N,N,N,N,L,VL,L,L,B,A3,VH,VH,N,H,N,N,N,L,VL,N,N,B,A3,VH
837,H,N,N,N,N,H,N,N,VL,N,N,B,A3,H,N,N,N,N,H,N,N,VL,N,N,B,A3,H
839,H,N,N,N,N,H,N,N,VL,N,N,B,A2,VH,VH,H,VH,H,VH,H,N,VL,N,N,B,A2,VH
840,UH,VH,N,N,N,H,N,H,VL,N,N,B,A1,H,N,N,N,N,N,N,N,VL,H,N,B,A1,H
841,UH,UH,N,N,H,VH,H,N,VL,N,N,B,A3,UH,UH,N,H,H,UH,H,N,VL,N,N,B,A3,UH
842,N,N,N,N,N,N,N,N,VL,N,N,B,A2,N,N,N,N,N,N,N,N,VL,N,N,B,A2,N
843,N,N,N,N,N,N,N,N,VL,N,N,B,A2,H,N,N,N,N,H,N,N,VL,N,N,B,A2,H
844,H,H,N,N,H,H,N,N,VL,N,N,B,A3,H,H,N,H,N,H,N,N,VL,N,N,B,A3,H
845,UH,VH,N,N,N,N,N,N,VL,N,N,B,A1,VH,H,N,N,N,N,N,N,VL,N,N,B,A1,VH
846,H,H,N,N,N,H,N,N,VL,VH,N,B,A2,UH,UH,N,N,N,H,N,N,VL,VH,N,B,A2,UH
850,H,H,N,N,N,N,N,N,VL,N,N,B,A2,H,H,H,N,N,N,N,N,VL,N,N,B,A2,H
851,VH,H,N,N,N,H,N,N,VL,N,N,B,A1,H,H,N,N,N,N,N,N,VL,N,N,B,A1,H
854,VH,H,N,N,N,H,N,N,VL,N,H,B,A2,VH,H,N,N,N,N,N,N,VL,N,N,B,A2,VH
864,H,N,N,N,N,H,N,N,VL,N,N,B,A2,H,H,N,N,N,H,N,N,VL,N,N,B,A2,H
865,H,N,N,N,N,N,N,N,VL,N,N,B,A1,H,N,N,N,N,N,N,N,VL,N,N,B,A1,H
866,N,N,N,N,H,H,H,N,VL,N,N,B,A2,H,N,N,N,H,H,H,N,VL,N,N,B,A2,H
870,H,H,N,N,N,H,N,N,VL,N,N,B,A1,H,N,N,N,N,H,N,N,VL,L,N,B,A1,H
875,N,N,N,N,N,N,N,N,VL,H,N,B,A2,N,N,N,N,N,H,N,N,VL,N,VH,B,A2,N
876,VH,VH,N,H,N,H,N,N,VL,N,N,B,A3,UH,UH,H,VH,H,H,N,N,VL,N,N,B,A3,UH
882,UH,H,N,N,N,H,N,N,VL,N,N,B,A1,UH,UH,N,N,N,H,N,N,VL,N,N,B,A1,UH
883,H,N,N,N,N,N,N,N,VL,N,N,B,A2,H,H,N,N,N,N,N,N,VL,N,N,B,A2,H
884,H,H,N,N,N,N,N,N,N,N,N,B,A1,H,N,N,N,N,N,N,N,N,N,N,B,A1,H
885,N,N,N,N,N,N,N,N,N,N,N,B,A2,N,N,N,N,N,H,N,N,N,N,N,B,A2,N
888,VH,VH,H,VH,H,VH,H,N,N,N,N,B,A2,H,H,H,H,N,H,N,N,N,H,N,B,A2,H
889,H,H,N,N,N,N,N,N,N,N,N,B,A1,H,N,N,N,N,N,N,N,N,N,N,B,A1,H
890,UH,H,N,N,N,N,N,N,N,VH,L,B,A2,VH,H,H,UH,N,N,N,N,N,H,N,B,A2,VH
891,VH,H,H,H,N,H,N,N,VL,N,H,B,A2,VH,H,H,H,N,N,N,N,VL,N,H,B,A2,VH
892,VH,H,H,N,N,N,N,N,N,N,N,B,A2,VH,VH,H,UH,H,H,H,N,N,N,N,B,A2,VH
894,N,N,H,H,N,N,N,N,N,N,N,C,A3,N,N,H,N,N,N,N,N,N,N,N,C,A3,N
897,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,N,N,N,N,N,N,N,C,A1,N
898,N,N,H,N,N,N,N,N,N,N,H,C,A1,N,N,H,N,N,N,N,N,N,N,N,C,A1,N
899,H,N,H,N,N,N,N,N,N,N,N,C,A1,H,N,H,N,N,N,N,N,N,N,H,C,A1,H
900,H,H,H,VH,N,N,N,N,N,N,N,C,A2,H,N,VH,VH,N,N,N,N,N,N,N,C,A2,H
907,H,H,N,N,N,N,N,N,N,N,N,C,A1,VH,H,N,N,N,N,N,N,N,N,N,C,A1,VH
908,UH,H,H,N,N,N,N,N,N,N,N,C,A1,UH,UH,H,N,N,N,N,N,N,N,N,C,A1,UH
909,VH,H,H,N,N,N,N,N,N,H,N,C,A2,VH,H,H,N,N,N,N,N,N,N,N,C,A2,VH
911,H,VH,H,H,N,N,N,L,L,N,N,C,A2,H,VH,H,H,N,N,N,L,L,N,N,C,A2,H
913,UH,UH,VH,N,N,N,N,L,L,L,N,C,A2,UH,UH,VH,N,N,H,N,L,L,L,N,C,A2,UH
915,UH,UH,H,VH,H,VH,H,L,VL,N,N,B,A2,UH,UH,H,VH,H,UH,H,L,VL,N,N,B,A2,UH
922,H,N,N,H,N,N,N,N,N,N,N,B,A1,H,H,N,H,N,N,N,N,N,N,N,B,A1,H
923,N,N,H,N,N,H,N,N,N,N,N,C,A1,N,N,N,N,N,N,N,N,N,N,N,C,A1,N
937,N,N,N,N,N,N,N,N,N,N,N,C,A1,N,N,N,N,H,H,H,N,N,N,N,C,A1,N
938,H,N,N,N,VH,H,VH,N,N,N,N,C,A1,H,N,H,N,H,H,H,N,N,N,N,C,A1,H
939,UH,VH,VH,VH,N,H,N,L,L,N,L,C,A2,UH,VH,VH,VH,H,H,N,L,L,N,N,C,A2,UH
940,UH,VH,H,H,N,N,N,N,N,N,N,C,A3,VH,VH,UH,UH,N,N,N,N,L,N,H,C,A3,VH
942,VH,VH,H,H,N,H,N,N,VL,N,H,C,A1,H,H,VH,H,N,N,N,N,VL,N,H,C,A1,H
943,UH,VH,VH,VH,N,H,N,L,N,N,H,C,A2,VH,H,VH,VH,N,H,N,L,N,N,N,C,A2,VH
944,N,N,N,N,N,H,N,N,VL,N,N,C,A1,H,H,N,N,N,H,N,N,VL,N,N,C,A1,H
945,N,N,N,H,N,H,N,N,N,N,N,C,A2,N,N,H,N,H,H,H,N,N,N,N,C,A2,N
948,H,H,H,H,N,N,N,N,N,N,N,C,A2,H,H,H,H,H,H,H,N,N,N,N,C,A2,H
949,UH,VH,H,H,N,N,N,N,N,N,N,C,A2,UH,VH,H,H,N,H,N,N,N,N,H,C,A2,UH
952,N,N,N,N,N,N,N,N,VL,N,N,C,A2,N,N,N,N,N,N,N,N,VL,L,H,C,A2,N
953,N,N,H,H,N,N,N,N,N,N,N,C,A1,N,N,H,H,N,N,N,N,N,N,N,C,A1,N
955,H,N,H,N,N,N,N,N,N,N,N,C,A2,H,N,H,N,N,N,N,N,N,N,N,C,A2,H
957,N,N,N,N,N,N,N,N,N,N,N,C,A2,N,N,N,N,N,N,N,N,N,N,N,C,A2,N
958,VH,H,H,H,N,H,N,H,N,L,H,C,A1,VH,VH,H,H,N,N,N,N,N,L,N,C,A1,VH
959,VH,H,VH,VH,N,N,N,N,N,N,N,C,A1,VH,VH,H,VH,N,N,N,N,N,N,N,C,A1,VH
